cleaned_descriptor_identity	canonical_concept_id	semantic_class	mapping_state	cleaned_assertion_support	effective_record_support	source_family_support	year_support	gold_support	silver_support	bronze_support	rights_affirmative_support	rights_pending_support	rights_unknown_support
cleaned-form:a03b0cbf6712b2c1c1169acc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:a07b4a53815b49a498aa5bcf		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a0d92592fbf2d89fdca26317		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a132a893d0e32037a75ca71d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a13f0c50785602c7addd6ddd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a14aa9bade88d18a4d53ed0f		DEFECT_OR_NEGATIVE_SENSORY	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:a1548093e19f72818af9512c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a1a58268e7f807c8c6f67052		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:a1b4f366ac206a1596105ae9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a1bd64e46610483ece3afa20		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a1ee6c5e3274117d5c179a61		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a1f282a2d6078df3a4137304		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a22448c5e38291197e0ac879		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a2394a955f87b967e09076d0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a2439f195a0f7f984f73c88e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a25d2d96f60f61c1b402efb3		BROAD_SENSORY	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a269105819bd816d9c3b084d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a27519e91683c99f7ad27615		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:a314cbeb6505920d88a31fcd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a36f862fecb5401bf2cae177		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a393cef36500742431d7e46a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a3acd4900c489daa68ff45b4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:a3be3cfe9af3463565f963d5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a3bf91cea23019268a91ead7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a3d165a295980dd5f43c7cdd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a40be6fa19dba9a28c60029f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a44fad79b0149972ebd96c29		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a46ecb86335fa8211f660f79		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a4888af4e46c129c695ee327		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:a4a2fd8c9c86b511d24b019a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a4b684717bc666522836e1e0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a51b43525ea867a7afdb9361		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a51e3a42a13e2cd54ba7e6f6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a52817762479a4711f58f6ed		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a59085c76c76993b9b526905		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:a59876f4b30e7000d1dcf126		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	0	1	0
cleaned-form:a5a02b2f8fc4ab13e65a5256		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a5b7dac41c6fa3607009b6d9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:a5bc0dc5ae9f362b47bb155e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	0	1	0	0	1
cleaned-form:a5c138119fc392664072b192		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a61f9897db496ce449573579		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a69152d062b61b41573c1fdd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a6c4a0efce1e2f51e99c7d8c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a6fc23c1207485c51ff4fac4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a727338ec8fb3ffeb1a4a41b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a7422e80f2411fdaa35d0867		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a7bac50b36c89447b2f05e08		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a7cb51c1b47735e431912875		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a7f820baf0219c621f3aad76		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:a84b9c54b97561e62c9c36e5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a85b196e4f5f8dea358e7f32		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a85e063b2da04d3057911177		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a88dcf5269ae9c6579bced8d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a8fd7a3300afbeb3a09339f3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a95cb6f6726484abfeee9895		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a96f6e806268e24a08fc9293		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a9b03daae33ca8ec9f499526		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a9b0e3233b0b199c9b219a49		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a9b15d015363c164bd2c7184		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	0	1	0
cleaned-form:a9c1034fb623883b5786268b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:a9fa221faa804f5710bb70c2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aa10d69d9f411cab2118360d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:aa2ec05476d78223eafa1fba		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aa6c661c56bbac23e608fa8f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aaa40dd48e44ccfe69beacc8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aad3a400dbcd01c4e05c5cc3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aae82ed5690903acc278592b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aaf78ed035c42c06c21c0886		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:aafb57232d40dcb71a1a91fe		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ab0c15680f50356e6204ed01		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ab190ce665df47e2513a65bc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ab58531a7b7c8dba10eab107		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ab5c95d2cc5bf9000e8dee30		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ab815ccfd2ee741ed573c054		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:abb6005b48693b14c96c427c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:abb66666174636d123fad7e4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:abc30f82bcc058ea6bf1b86a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:abeda62fefc1b342f793615a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:ac10000bdaf01ff63a992e79		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:ac22a8d08db8a1b8b811769e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ac4c09991e065ff81412302c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ac5f83a355e1274fb64a794f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ac6378f17ab06618af859e7d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ac7d7d91a64f29f903082520		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:acc404e61ddb8e99f7687e96		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:acdab1a7b00688a593af8f8d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ace8407f0951c35e2d71d87f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ad02f5e19533b039267d2dd6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ad0f30b1176933ee3c332787		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ad1bba5ccbd342e88b87f305		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ad4479d63132af9d6a576b95		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ada4005fb4dfd897f33fb97e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:adeebb60e824ba5cfa55da7b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:ae5eebff12dd75af2fc959fa		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aeb13f86c4b1aa67917de094		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aecbfedbb83074852e3ba165		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aecdbfc3015f07b3db22ea76		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:aefe4867ea407215f6c85fc4		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:af4700f984489053e9aa20bf		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:af47ef39f2e920a945043116		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:afd01413c48a269d10c49184		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b002a634647c3350c37b15a3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b02ac577207ee38d7a1763e3		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	0	1	0
cleaned-form:b05201c33c70af85c6690f5b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b07f58129e0304cd07be8b55		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b09837b2d5279605023d5a44		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b0b524b533a032e417f248c5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b0bb60bdd1d334263a89c318		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b0ca1a75f33bb524cdad4a7a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b0ecf05639015ebbb28c00a1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b1386de8cb1a2b60ce660395		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b140a69d6117224d6d499f33		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b1601f694b9d336c35fc456d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b160ad9d7a9b9111dec53eee		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b1d4a4253067284f2898609d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b1fcb45c50b36a39c57e161b		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b1fd0e776919a69ebc5c6d80		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b24f478f6f175088ef13073d		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b27120d79538c43a9874d050		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b2d07b8b4248809f3cf30fa0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b2dc5ac0a8657215a12b481e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b2e2bcea92296f1b97a855ec		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b2e78e3a5bb1d60df728818e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b2ee4db92c3e570a426f9c87		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b3af5c693a2e5926ea70be33		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b3af608d2a6489f4a225b9fc		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b3c5c82a7a9d1c4ab8a56d8f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b3e6c143ebb5bd3bb0963a28		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b45d465e04dc987b94dc1085		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b476186086eb80f0156ccccb		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b47e1f4277f4ba448fc4977c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b4c3049e272bae9140724128		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b4cf7fb62470796d808b8ca2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b527f950d9818de2d1e820e7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b58eff491c9311a9cbdfcff6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b61e3b1987d38fa21293a821		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b65dd552d805e18b6126367e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b6b54201f23d00f5b719f532		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b7099288928f87aec63ad045		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b70c1d66e2a70915b35c7c22		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b72c942d514c1e460eb3c393		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b731bc9c257a0bd355ade0f1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	0	1	0
cleaned-form:b7a08be13e2a249d53e8355f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b7a3191096ad2af880f5ab2f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b7aafef037d371583d2ebd09		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b7cf969303fd9245b3f20eba		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b7db31d1a1007102bfc512b6		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b81969ac9f648c30f3405131		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b880ef5a73fa94a8bd198329		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b92620dd221fda350fae2fd9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b9582e85d6b722082ff0ea45		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b96482290a873ee9875236c0		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:b975c140ba22e896cfdd1939		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b984323b1a35d020156f7ee5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:b9ebbe6e090b5b52e2de4abd		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ba20c1ac38734a6bdfc5136c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ba25f3b69d3cf3da918f72d2		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:ba7651a413497ef343d9a8bb		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:ba850740fee770af26d33fa7		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:ba9f6e2cc358097447784531		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:baa2187caf764bb005bebb07		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:baa3d9e56c2ce375b8dd70e5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bab4fb9f66dc7ead817f2921		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bb064e5d7325e42a911c5582		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:bb08f9bd66bc0ee07a07c326		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:bb1451c275a53ad0e7263d85		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bb3c3f8026dd7309b17f7055		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:bb46b09f297364cddcfc02b1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bb9cbd9193ebf11da53117a8		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bbb4228fc21df004441fc39a		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bbca54790636cfe1e21fe1f9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bbd0cfbe5302a34222fc064f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bbef3fa4c538bac8c480fbf1		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bc0e8640fb821a9ce302dd3c		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bc241d5e73ad455d937cee4f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bc37b0ca7d0ae27237d1d976		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:bc755de55353dbb826b60d4f		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bc7ae0eb76c4ba4403af3a44		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bcb4927846eafd984202efd5		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bcb52bb19fbe41ce912f7158		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bcff265305d5741d1a1a92ec		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bd044f0e8c315d0388f1ae89		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bd2694b34f8380e53dc6d65e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:bd2d3f91c47a26160f442eca		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bd4487af5b706abd618a3c63		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bd70c61af7d46215afb040f9		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bd82ae44a689140c04029802		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bd878fa2293de72e9c871463		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
cleaned-form:bd928475f76170b65407d8bb		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	1	0	0	1	0	0
cleaned-form:bdaccfd77f483e9791b0c53e		STRICT_FLAVOR	ONTOLOGY_CANDIDATE	1	1	1	1	0	1	0	0	0	1
